label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
115,0.59,0.8667,1.261,0.6847,0.8397,0.7893,1.4,916.9152542372881,986.8644067796611,40,watershed,40 IMG20260216081714 (1).jpg
116,0.2225,0.5323,0.6756,0.4261,0.7761,0.9175,1.0,932.8202247191011,414.4943820224719,40,watershed,40 IMG20260216081714 (1).jpg
117,0.7275,0.9624,1.3479,0.7409,0.8354,0.8687,0.8,937.9347079037801,352.20274914089345,40,watershed,40 IMG20260216081714 (1).jpg
118,0.5225,0.8156,0.9443,0.7116,0.6574,0.933,0.8,939.8851674641148,1008.4545454545455,40,watershed,40 IMG20260216081714 (1).jpg
119,0.9325,1.0896,1.5702,0.8723,0.8315,0.7445,3.1,942.2198391420911,977.9329758713137,40,watershed,40 IMG20260216081714 (1).jpg
120,0.505,0.8019,0.8467,0.8122,0.2825,0.9352,0.5,948.4356435643564,911.1930693069307,40,watershed,40 IMG20260216081714 (1).jpg
121,0.1625,0.4549,0.5468,0.3787,0.7213,0.9155,0.4,951.8,1015.6615384615385,40,watershed,40 IMG20260216081714 (1).jpg
122,0.63,0.8956,1.3335,0.6443,0.8755,0.8571,1.8,966.0039682539683,401.73809523809524,40,watershed,40 IMG20260216081714 (1).jpg
123,0.365,0.6817,1.0295,0.5698,0.8329,0.7264,8.1,965.6780821917808,1011.1849315068494,40,watershed,40 IMG20260216081714 (1).jpg
124,0.3325,0.6507,0.9483,0.6039,0.771,0.7112,29.5,970.2932330827068,332.62406015037595,40,watershed,40 IMG20260216081714 (1).jpg
